#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
40000,79.99999999999496,-554305.9367895927,84010.4789247713,-470295.4578648214,298.374029900471,333.157565933456,1.051463325144234,0
80000,160.00000000003587,-554457.0144263115,84877.93696483015,-469579.0774614813,301.4549187906973,333.157565933456,1.051463325144234,246
120000,240.00000000041786,-555046.247824749,84890.87172312406,-470155.3761016249,301.5008582497664,333.157565933456,1.051463325144234,246
160000,320.00000000079984,-554917.341574749,84238.8541953433,-470678.48737940565,299.1851340708352,333.157565933456,1.051463325144234,246
200000,400.00000000118183,-553181.2619849052,84180.68715165622,-469000.574833249,298.97854632780076,333.157565933456,1.051463325144234,245
240000,480.0000000015638,-554972.0085669365,84698.32469017524,-470273.68387676124,300.8170026772043,333.157565933456,1.051463325144234,245
280000,560.0000000005815,-555055.054465374,84423.02345358767,-470632.0310117863,299.8392348981303,333.157565933456,1.051463325144234,245
320000,639.9999999986898,-555121.0105200615,83919.98977535238,-471201.02074470907,298.0526460383629,333.157565933456,1.051463325144234,245
360000,719.999999996798,-554955.970480999,85271.01731824726,-469684.95316275174,302.8509942639581,333.157565933456,1.051463325144234,246
400000,799.9999999949063,-554638.052512249,84930.83918490855,-469707.21332734043,301.6428078349867,333.157565933456,1.051463325144234,246
440000,879.9999999930145,-555164.462668499,84322.96187710704,-470841.50079139194,299.48385332913034,333.157565933456,1.051463325144234,246
480000,959.9999999911228,-554980.9226294365,83854.63389238017,-471126.2887370563,297.82052620724534,333.157565933456,1.051463325144234,246
520000,1039.9999999892311,-555242.5534888115,85189.08760917326,-470053.4658796382,302.56001035602355,333.157565933456,1.051463325144234,246
560000,1119.9999999873394,-555441.2859106865,84525.99716355716,-470915.2887471293,300.20495928407166,333.157565933456,1.051463325144234,246
600000,1199.9999999854476,-554159.716574749,84552.35327201741,-469607.36330273154,300.2985663958799,333.157565933456,1.051463325144234,246
640000,1279.9999999835559,-555171.2448950615,84485.6476973155,-470685.597197746,300.06165296084924,333.157565933456,1.051463325144234,246
680000,1359.9999999816641,-555882.374777874,84154.7733741434,-471727.6014037306,298.88651021129,333.157565933456,1.051463325144234,246
720000,1439.9999999797724,-556053.001730999,85003.3807331507,-471049.6209978483,301.9004484812638,333.157565933456,1.051463325144234,246
760000,1519.9999999778806,-556006.1008520927,84301.91723507829,-471704.18361701444,299.4091105740563,333.157565933456,1.051463325144234,246
800000,1599.9999999759889,-554551.480246624,84741.0127649359,-469810.4674816881,300.9686148696123,333.157565933456,1.051463325144234,246
840000,1679.9999999740971,-553742.1062231865,83783.08182197821,-469959.02440120827,297.56639981888526,333.157565933456,1.051463325144234,246
880000,1759.9999999722054,-553484.195090374,84169.2578402035,-469314.9372501705,298.93795365697224,333.157565933456,1.051463325144234,246
920000,1839.9999999703136,-555558.3996802177,84968.38171559037,-470590.01796462736,301.7761449652538,333.157565933456,1.051463325144234,246
960000,1919.999999968422,-555262.7873755302,83749.47419979749,-471513.31317573274,297.4470380226692,333.157565933456,1.051463325144234,246
1000000,1999.9999999665301,-554544.8152075615,84189.13673567981,-470355.67847188166,299.0085561131081,333.157565933456,1.051463325144234,246
1040000,2079.9999999646384,-555541.3464575615,84252.59586082958,-471288.7505967319,299.23393936466476,333.157565933456,1.051463325144234,246
1080000,2159.9999999627466,-555891.9612036552,84880.80458075064,-471011.1566229046,301.4651034977643,333.157565933456,1.051463325144234,246
1120000,2239.999999960855,-555120.5398169365,84096.67270347977,-471023.8671134567,298.68015820059196,333.157565933456,1.051463325144234,247
1160000,2319.999999958963,-555454.9519263115,84105.69920504652,-471349.25272126496,298.7122169828159,333.157565933456,1.051463325144234,246
1200000,2399.9999999570714,-554880.562277874,84298.59871285746,-470581.9635650165,299.39732441522216,333.157565933456,1.051463325144234,246
1240000,2479.9999999551796,-555570.9499731865,84838.51903665237,-470732.4309365341,301.3149209448183,333.157565933456,1.051463325144234,246
1280000,2559.999999953288,-555123.435324749,85082.79154259448,-470040.6437821545,302.1824861929238,333.157565933456,1.051463325144234,246
1320000,2639.999999951396,-554258.7429419365,84661.42433214543,-469597.31860979105,300.6859463057726,333.157565933456,1.051463325144234,246
1360000,2719.9999999495044,-555820.9787817802,84252.47156442993,-471568.5072173503,299.2334979100017,333.157565933456,1.051463325144234,247
1400000,2799.9999999476127,-555171.0671606865,84084.57562895621,-471086.4915317303,298.63719388326166,333.157565933456,1.051463325144234,247
1440000,2879.999999945721,-555175.7024145927,84295.38004421571,-470880.322370377,299.38589289922743,333.157565933456,1.051463325144234,247
1480000,2959.999999943829,-555041.032980999,85316.56879279815,-469724.4641882008,303.01277618930374,333.157565933456,1.051463325144234,246
1520000,3039.9999999419374,-555422.263449749,84769.00063724647,-470653.2628125025,301.06801740077896,333.157565933456,1.051463325144234,246
1560000,3119.9999999400457,-555087.593527874,85184.40899139538,-469903.1845364786,302.54339364274426,333.157565933456,1.051463325144234,246
1600000,3199.999999938154,-555000.325949749,84576.69872587308,-470423.6272238759,300.3850324090445,333.157565933456,1.051463325144234,247
1640000,3279.999999936262,-555277.118918499,84737.46313941054,-470539.65577908844,300.956007917644,333.157565933456,1.051463325144234,247
1680000,3359.9999999343704,-555158.5735083427,84676.47008952987,-470482.10341881285,300.7393832498438,333.157565933456,1.051463325144234,247
1720000,3439.9999999324787,-555253.6819067802,84250.57649052283,-471003.1054162574,299.2267673110829,333.157565933456,1.051463325144234,247
1760000,3519.999999930587,-555897.1887427177,85652.17049740575,-470245.018245312,304.2047088425493,333.157565933456,1.051463325144234,247
1800000,3599.999999928695,-555606.2175513115,85067.16524800134,-470539.05230331013,302.126987396228,333.157565933456,1.051463325144234,247
1840000,3679.9999999268034,-554159.021262249,84693.33439714264,-469465.68686510634,300.7992790091384,333.157565933456,1.051463325144234,247
1880000,3759.9999999249117,-555269.9787817802,84865.16715550749,-470404.81162627274,301.4095651691321,333.157565933456,1.051463325144234,247
1920000,3839.99999992302,-554247.2722388115,85379.7244515146,-468867.5477872969,303.2370816407596,333.157565933456,1.051463325144234,247
1960000,3919.999999921128,-554356.1882544365,84834.09799976146,-469522.090254675,301.2992190632154,333.157565933456,1.051463325144234,247
